"","POS_mm","RghtLft","SECTION","volume","volume D","volume V","index","index D","index V","mb","set","src","position"
"3166",23.9,"left","medial",0.0004575,6.825e-05,0.0004535,3.2396,0.1608,6.3184,"MB18",2,"MB18-2","left medial"
"4615",23.9,"left","medial",0.002818,6.85e-05,0.00376275,2.7514,0.7398,4.763,"MB22",1,"MB22-1","left medial"
"2841",23.9,"left","medial",0.00289075,0.00033175,0.00271375,4.6886,3.1784,6.1988,"MB18",1,"MB18-1","left medial"
"2578",23.9,"left","proximal",0.00314075,0.00050225,0.00283575,3.7217,2.036,5.4074,"MB17",2,"MB17-2","left proximal"
"2040",23.9,"left","proximal",0.0070555,0.0049045,0.002151,5.8993,7.0663,4.7322,"MB14",2,"MB14-2","left proximal"
"5326",23.9,"right","medial",2e-04,1e-04,1e-04,0.6305,1.0268,0.2341,"MB23",1,"MB23-1","right medial"
"5720",23.9,"right","medial",5e-04,0,5e-04,1.0219,0.5,1.5437,"MB23",2,"MB23-2","right medial"
"1707",23.9,"right","medial",6.275e-05,0,0.00175275,1.9878,0,3.9756,"MB14",1,"MB14-1","right medial"
"4076",23.9,"right","proximal",0.001,2e-04,9e-04,4.9126,5,4.8252,"MB21",1,"MB21-1","right proximal"
"677",23.9,"right","proximal",0.0019,0.0015,4e-04,5.1981,10,0.3962,"MB12",1,"MB12-1","right proximal"
"3786",23.9,"right","proximal",8.25e-06,0,8.5e-05,1.0608,1.4484,0.6731,"MB19",2,"MB19-2","right proximal"
"4365",23.9,"right","proximal",0.0061,0.0019,0.0045,6.7823,4.0055,9.5592,"MB21",2,"MB21-2","right proximal"
"2319",23.9,"right","proximal",0.0020375,0.00121225,0.00082525,4.0626,4.8708,3.2543,"MB17",1,"MB17-1","right proximal"
"5721",24,"left","medial",1e-04,0,4e-04,1.2323,1.5,0.9645,"MB23",2,"MB23-2","left medial"
"5327",24,"left","medial",3e-04,2e-04,1e-04,0.5856,0.9148,0.2564,"MB23",1,"MB23-1","left medial"
"1708",24,"left","medial",0.0020545,7.65e-05,0.00365225,4.678,2,7.3561,"MB14",1,"MB14-1","left medial"
"4077",24,"left","proximal",8e-04,2e-04,0.0014,1.9952,1.0705,2.9198,"MB21",1,"MB21-1","left proximal"
"4366",24,"left","proximal",0.0028,0.0016,0.0012,4.6057,6.4715,2.7399,"MB21",2,"MB21-2","left proximal"
"3787",24,"left","proximal",0.00023175,7.15e-05,0.0002375,1.1554,1,1.3109,"MB19",2,"MB19-2","left proximal"
"2320",24,"left","proximal",0,0,0,0,0,0,"MB17",1,"MB17-1","left proximal"
"3488",24,"right","distal",9.75e-05,1.575e-05,9.125e-05,1.5286,1.5437,1.5135,"MB19",1,"MB19-1","right distal"
"1428",24,"right","distal",0.0028695,0.001391,0.0014785,6.3044,6.8733,5.7356,"MB13",2,"MB13-2","right distal"
"1140",24,"right","distal",0,0,0,0,0,0,"MB13",1,"MB13-1","right distal"
"4974",24,"right","medial",6.325e-05,2.525e-05,5.275e-05,0.3423,0.2976,0.3869,"MB22",2,"MB22-2","right medial"
